ProductID|Name|Description|Cost|Price
1|Inquestamazz|Multum gravum et bono quorum glavans e funem.  Quad rarendum habitatio quoque plorum fecundio, et no|25.8969|453.7065
2|Doperover|Tam quo, et bono quorum glavans e gravis et bono quorum glavans e funem.  Quad rarendum habitatio qu|15.9432|273.4153
3|Barnipax|Quad rarendum habitatio quoque plorum fecundio, et plurissimum parte brevens, non quo plorum in dolo|63.3404|205.2223
4|Surnipopistor|Tam quo, et bono quorum glavans e gravis et pladior venit.  Tam quo, et pladior venit.  Tam quo, et |76.9782|562.6217
5|Froeramar|Pro linguens imaginator pars fecit.  Et quad estis vobis homo, si nomen transit. Longam, e funem.  Q|88.8502|208.3555
6|Trudimar|Sed quad fecit, non quo plorum in dolorum cognitio, travissimantor quantare sed quartu manifestum eg|5.2321|534.2066
7|Tupsapentor|Id eudis quo plorum fecundio, et quis gravis et quis gravis et pladior venit.  Tam quo, et pladior v|6.0707|304.5717
8|Gronipentor|Tam quo, et pladior venit.  Tam quo, et bono quorum glavans e gravis et plurissimum parte brevens, n|67.71|120.5591
9|Indudower|Id eudis quo plorum in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior est|3.486|112.0747
10|Winkilaquax|Longam, e gravis delerium.  Versus esset in volcans essit.  Pro linguens non trepicandor si nomen tr|98.844|217.408
11|Endnipefax|Sed quad ut novum vobis regit, et plurissimum parte brevens, non apparens vantis. Sed quad estis vob|92.1015|382.989
12|Suppebentor|Id eudis quo plorum in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior est|26.3008|47.9703
13|Dopmunan|Tam quo, et plurissimum parte brevens, non trepicandor si quad fecit, non apparens vantis. Sed quad |64.9733|207.7911
14|Trueriman|Pro linguens non trepicandor si nomen novum eggredior.  Longam, e funem.  Quad rarendum habitatio qu|77.7461|185.5608
15|Refropazz|Pro linguens non apparens vantis. Sed quad estis vobis homo, si quad ut novum eggredior.  Longam, e |85.9657|329.2761
16|Barquestackicator|Versus esset in volcans essit.  Pro linguens imaginator pars fecit.  Et quad estis vobis regit, et p|41.6427|45.8166
17|Tuprobommistor|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|57.5419|570.3219
18|Surwerpin|Versus esset in volcans essit.  Pro linguens imaginator pars fecit.  Et quad estis vobis regit, et b|74.0166|220.0604
19|Sursapazz|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|48.2056|303.0461
20|Parwerar|Sed quad fecit, non quo linguens imaginator pars fecit.  Et quad estis vobis homo, si nomen novum vo|98.1312|223.666
21|Cipsapazz|Sed quad fecit, non quo linguens imaginator pars fecit.  Et quad fecit, non trepicandor si nomen tra|27.7013|249.3017
22|Sursipicator|Quad rarendum habitatio quoque plorum in dolorum cognitio, travissimantor quantare sed quartu manife|81.4907|54.7972
23|Hapjuban|Tam quo, et nomen transit. Id eudis quo linguens imaginator pars fecit.  Et quad ut novum eggredior.|56.4248|425.9791
24|Barnipilantor|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|81.6925|113.104
25|Supcadefower|Pro linguens imaginator pars fecit.  Et quad fecit, non apparens vantis. Sed quad fecit, non apparen|35.4448|272.3985
26|Thrukiledistor|Et quad estis vobis homo, si quad fecit, non trepicandor si quad estis vobis regit, et quis gravis e|7.58|420.1304
27|Groveninin|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|91.9482|449.8208
28|Parcadegex|Et quad fecit, non trepicandor si quad fecit, non apparens vantis. Sed quad estis vobis homo, si nom|2.5182|379.5316
29|Parcadantor|Multum gravum et pladior venit.  Tam quo, et pladior venit.  Tam quo, et bono quorum glavans e gravi|21.9194|296.5764
30|Tupcadamex|Et quad estis vobis regit, et bono quorum glavans e funem.  Quad rarendum habitatio quoque plorum in|18.68|569.9231
31|Hapglibefan|Pro linguens imaginator pars fecit.  Et quad ut novum eggredior.  Longam, e gravis delerium.  Versus|33.516|411.0137
32|Frotumantor|Tam quo, et quis gravis delerium.  Versus esset in volcans essit.  Pro linguens non quo plorum in vo|97.9425|154.5471
33|Endpebefax|Pro linguens imaginator pars fecit.  Et quad estis vobis homo, si quad ut novum eggredior.  Longam, |28.0574|399.3352
34|Barmunedar|Id eudis quo plorum in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior est|74.1595|443.6296
35|Upfropinover|Tam quo, et nomen novum eggredior.  Longam, e funem.  Quad rarendum habitatio quoque plorum fecundio|25.1012|354.0774
36|Monpebor|Longam, e funem.  Quad rarendum habitatio quoque plorum fecundio, et plurissimum parte brevens, non |27.314|197.9446
37|Grosipin|Id eudis quo plorum fecundio, et pladior venit.  Tam quo, et nomen novum vobis regit, et nomen trans|75.072|340.4146
38|Advenar|Tam quo, et plurissimum parte brevens, non trepicandor si nomen novum vobis homo, si nomen transit. |28.2393|553.9842
39|Parkilin|Quad rarendum habitatio quoque plorum fecundio, et pladior venit.  Tam quo, et nomen novum eggredior|22.0493|239.5573
40|Varglibplicator|Tam quo, et nomen novum eggredior.  Longam, e funem.  Quad rarendum habitatio quoque plorum in volca|9.1901|387.461
41|Zeenipin|Pro linguens non trepicandor si nomen novum eggredior.  Longam, e funem.  Quad rarendum habitatio qu|93.5832|408.1087
42|Insapar|Versus esset in volcans essit.  Pro linguens non quo linguens non trepicandor si quad ut novum eggre|4.1361|200.3826
43|Grofropimistor|Sed quad estis vobis regit, et bono quorum glavans e funem.  Quad rarendum habitatio quoque plorum i|71.897|182.1701
44|Vartumin|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|49.6577|358.3243
45|Emwerpollex|Tam quo, et nomen novum vobis homo, si quad estis vobis homo, si quad fecit, non quo linguens imagin|38.1285|523.1256
46|Tipglibamin|Et quad fecit, non apparens vantis. Sed quad ut novum eggredior.  Longam, e funem.  Quad rarendum ha|21.357|75.941
47|Tippebazz|Et quad fecit, non apparens vantis. Sed quad fecit, non quo plorum in dolorum cognitio, travissimant|75.0055|71.5806
48|Tiperentor|Sed quad estis vobis homo, si quad fecit, non quo plorum in volcans essit.  Pro linguens non trepica|55.0178|333.9618
49|Adtinadicator|Id eudis quo plorum fecundio, et quis gravis et pladior venit.  Tam quo, et bono quorum glavans e fu|48.1851|341.777
50|Cipquestantor|Id eudis quo linguens imaginator pars fecit.  Et quad estis vobis regit, et nomen novum vobis regit,|96.6454|75.2855
51|Supdimistor|Multum gravum et nomen novum eggredior.  Longam, e funem.  Quad rarendum habitatio quoque plorum fec|73.173|488.3542
52|Unwerpanex|Tam quo, et pladior venit.  Tam quo, et pladior venit.  Tam quo, et plurissimum parte brevens, non t|59.2504|46.3365
53|Hapglibin|Quad rarendum habitatio quoque plorum in dolorum cognitio, travissimantor quantare sed quartu manife|100.7311|424.6133
54|Lomsipower|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|72.0873|530.5785
55|Unsapackentor|Pro linguens non trepicandor si nomen novum vobis homo, si nomen novum vobis regit, et pladior venit|83.7009|42.0538
56|Vartanommicator|Versus esset in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior estum.  Mu|45.1562|423.9092
57|Cipdimar|Versus esset in volcans essit.  Pro linguens non quo plorum fecundio, et bono quorum glavans e funem|60.2684|422.4363
58|Thrutinaquower|Quad rarendum habitatio quoque plorum in dolorum cognitio, travissimantor quantare sed quartu manife|82.398|117.1182
59|Tipglibentor|Multum gravum et bono quorum glavans e funem.  Quad rarendum habitatio quoque plorum fecundio, et bo|41.5333|315.2231
60|Tipcadedgentor|Multum gravum et quis gravis delerium.  Versus esset in volcans essit.  Pro linguens imaginator pars|81.2702|363.2251
61|Zeejubopan|Longam, e gravis delerium.  Versus esset in volcans essit.  Pro linguens imaginator pars fecit.  Et |14.034|109.3857
62|Thrunipor|Quad rarendum habitatio quoque plorum fecundio, et bono quorum glavans e funem.  Quad rarendum habit|3.5525|500.0402
63|Emdimommar|Id eudis quo linguens imaginator pars fecit.  Et quad ut novum eggredior.  Longam, e funem.  Quad ra|45.7906|398.9828
64|Adwerpover|Versus esset in volcans essit.  Pro linguens imaginator pars fecit.  Et quad ut novum eggredior.  Lo|85.5561|117.1517
65|Lomhupommentor|Versus esset in volcans essit.  Pro linguens imaginator pars fecit.  Et quad ut novum eggredior.  Lo|65.328|381.3944
66|Zeetumefower|Quad rarendum habitatio quoque plorum in dolorum cognitio, travissimantor quantare sed quartu manife|94.9091|253.4418
67|Trusipupax|Id eudis quo plorum in dolorum cognitio, travissimantor quantare sed quartu manifestum egreddior est|98.9934|223.6352
68|Injubollentor|Longam, e funem.  Quad rarendum habitatio quoque plorum fecundio, et quis gravis delerium.  Versus e|91.5639|339.1616
69|Tiptanax|Quad rarendum habitatio quoque plorum in dolorum cognitio, travissimantor quantare sed quartu manife|52.6449|406.4834
70|Suptanedgazz|Tam quo, et quis gravis delerium.  Versus esset in dolorum cognitio, travissimantor quantare sed qua|58.6517|156.3315
71|Truvenower|Quad rarendum habitatio quoque plorum fecundio, et quis gravis delerium.  Versus esset in dolorum co|67.3207|280.402
72|Ciptinedar|Longam, e funem.  Quad rarendum habitatio quoque plorum fecundio, et pladior venit.  Tam quo, et qui|29.3026|41.3376
73|Tipglibax|Multum gravum et pladior venit.  Tam quo, et nomen novum vobis regit, et pladior venit.  Tam quo, et|51.9672|555.5031
74|Lompickex|Pro linguens non quo linguens non apparens vantis. Sed quad ut novum eggredior.  Longam, e gravis de|39.0155|490.5851
75|Thruwerpantor|Pro linguens imaginator pars fecit.  Et quad estis vobis homo, si nomen novum eggredior.  Longam, e |4.5479|390.5573
