SalesLineItemID|ProductID|CustomerID|Quantity|ExtendedAmount|TransactionDate
1|146|727|73|742.988|2011-07-13 02:23:26.170
2|164|818|31|912.3287|2011-09-04 16:13:59.890
3|154|769|62|91.3791|2011-03-07 00:51:28.500
4|112|559|358|543.0548|2011-05-18 14:58:24.450
5|42|207|210|654.7712|2011-08-14 22:32:11.250
6|112|1004|318|797.1841|2011-04-17 23:56:47.950
7|182|907|272|318.3705|2011-01-07 07:22:35.600
8|89|443|48|898.5725|2011-06-11 01:54:56.670
9|196|978|162|844.219|2011-07-19 19:57:02.790
10|55|274|73|950.9569|2011-03-16 10:08:52.610
11|59|292|296|62.9496|2011-09-01 18:10:15.270
12|94|468|65|493.3562|2011-05-11 03:19:59.200
13|127|633|218|282.2318|2011-06-06 00:05:18.240
14|94|470|102|33.3244|2011-07-29 12:20:33.730
15|197|983|158|324.4197|2011-05-08 08:34:36.310
16|7|31|173|547.2462|2011-03-20 13:28:11.650
17|173|863|187|439.1821|2011-07-06 23:45:47.220
18|200|996|197|233.9662|2011-04-01 19:00:17.470
19|136|678|368|225.6139|2011-09-14 22:57:12.470
20|63|315|388|859.0105|2011-02-03 17:21:50.100
21|164|817|157|467.2523|2011-07-23 15:40:28.790
22|170|849|103|278.9551|2011-09-13 13:30:05.130
23|199|992|273|790.1835|2011-02-18 15:45:02.670
24|7|33|108|890.3696|2011-03-24 01:04:59.530
25|140|700|27|807.6661|2011-04-03 21:54:18.260
26|106|527|125|337.8216|2011-03-04 14:27:55.030
27|187|935|285|171.7243|2011-03-16 16:16:48.630
28|138|688|393|123.1535|2011-08-05 02:47:45.510
29|110|547|361|335.8832|2011-07-07 17:12:46.150
30|17|82|225|678.9901|2011-09-09 07:52:23.380
31|38|188|163|739.8504|2011-05-13 16:00:13.750
32|91|454|172|964.1262|2011-02-26 10:02:03.260
33|60|298|332|455.551|2011-01-09 22:16:47.470
34|198|989|32|433.4632|2011-02-10 01:43:57.510
35|129|643|147|157.233|2011-04-17 12:38:27.880
36|153|763|10|692.5737|2011-02-10 10:42:44.030
37|7|1016|82|803.1706|2011-06-27 05:11:52.550
38|77|382|396|816.579|2011-01-09 19:58:13.720
39|69|344|378|752.059|2011-04-28 07:48:02.240
40|192|958|381|89.3724|2011-06-18 10:04:55.620
41|102|506|68|817.2096|2011-05-02 15:00:15.080
42|144|716|9|810.4873|2011-08-09 10:34:08.530
43|24|119|188|163.9833|2011-02-17 22:18:29.090
44|55|1010|101|485.981|2011-06-02 04:58:18.100
45|182|908|63|795.324|2011-07-10 00:50:50.570
46|159|795|305|867.9148|2011-04-14 22:53:25.850
47|68|338|207|471.3385|2011-05-19 09:01:18.160
48|92|458|252|603.625|2011-06-23 22:42:24.230
49|30|147|222|614.3164|2011-08-06 22:50:48.660
50|45|222|257|432.8642|2011-01-10 22:19:28.660
51|83|411|265|810.1337|2011-01-03 14:41:25.780
52|144|719|249|556.0588|2011-09-08 12:06:07.720
53|124|620|160|926.279|2011-05-29 22:22:35.110
54|98|488|380|535.5915|2011-05-24 18:23:56.750
55|39|195|361|66.1819|2011-05-09 23:12:09.270
56|176|879|371|464.0328|2011-07-14 12:53:21.050
57|166|826|159|122.1452|2011-07-18 00:28:57.220
58|148|736|354|201.0095|2011-08-28 23:46:28.970
59|172|859|331|735.3887|2011-02-14 17:04:06.190
60|136|680|84|316.9495|2011-06-13 08:04:16.220
61|125|625|33|625.4598|2011-02-02 07:39:59.320
62|44|219|280|195.2169|2011-02-17 04:34:50.090
63|180|896|88|562.6892|2011-08-19 08:42:10.520
64|180|897|338|165.2289|2011-07-25 12:04:39.420
65|18|87|310|211.1064|2011-07-18 18:08:38.860
66|168|839|123|98.8234|2011-07-07 08:08:12.010
67|35|171|134|37.8052|2011-05-02 05:03:11.720
68|129|645|186|848.7687|2011-04-26 22:21:20.720
69|166|827|355|876.0914|2011-04-13 23:42:05.840
70|44|220|147|631.846|2011-03-28 21:51:52.280
71|200|1000|91|744.0757|2011-06-08 08:16:19.110
72|97|482|191|622.6032|2011-06-28 03:47:33.490
73|131|653|220|481.9072|2011-08-19 11:12:15.230
74|144|720|387|136.2415|2011-03-30 12:52:16.840
75|162|810|320|41.8009|2011-06-19 02:21:35.030
76|21|101|148|656.7651|2011-08-29 05:06:20.260
77|146|730|316|114.9718|2011-07-27 15:11:36.030
78|144|1052|172|304.2024|2011-06-03 10:46:44.580
79|26|126|45|95.0456|2011-05-30 00:14:08.970
80|182|906|122|939.7513|2011-09-03 23:00:52.420
81|38|190|319|866.4831|2011-07-01 05:26:36.870
82|96|477|32|568.0993|2011-06-07 17:34:24.400
83|109|541|171|508.8372|2011-09-13 03:56:56.860
84|66|326|104|903.0191|2011-06-27 18:53:17.490
85|135|672|360|868.8565|2011-09-06 17:10:57.590
86|94|469|315|183.7916|2011-05-20 03:54:06.040
87|167|834|12|37.8472|2011-06-14 11:39:28.150
88|162|1075|352|919.9595|2011-05-03 03:52:50.720
89|159|794|72|367.2812|2011-06-18 02:31:48.240
90|153|765|176|693.2002|2011-06-18 23:45:06.840
91|188|938|252|570.4285|2011-04-10 10:13:46.820
92|59|295|128|602.161|2011-07-14 05:25:23.590
93|105|523|65|81.1902|2011-08-10 02:54:07.540
94|133|664|293|435.1095|2011-07-30 23:43:46.020
95|67|333|348|463.9127|2011-05-17 02:24:56.300
96|58|287|189|621.9926|2011-03-16 10:25:24.980
97|165|821|322|247.798|2011-09-05 01:51:58.010
98|45|223|250|998.7545|2011-04-10 10:13:49.680
99|38|187|191|274.8746|2011-07-30 10:49:39.250
100|14|69|340|696.5005|2011-01-03 16:42:38.560
101|125|1061|171|830.1096|2011-08-28 17:50:14.130
102|139|694|21|622.5699|2011-01-23 10:39:57.440
103|127|631|297|727.5337|2011-03-12 23:00:18.380
104|186|928|74|982.4704|2011-05-12 00:58:56.370
105|45|1050|166|688.7886|2011-04-19 14:03:09.560
106|186|929|74|187.5305|2011-03-23 10:53:52.290
107|14|67|28|74.1515|2011-01-21 00:53:52.480
108|181|901|173|790.0375|2011-03-02 09:30:18.260
109|136|679|59|493.7906|2011-08-20 16:02:21.730
